"id_config","id_variable","tipo_variable","clave","valor","descripcion","tipo_valor","items","dependent_clave","dependent_valor","editable","co_operation","da_update"
84,9,"C","prepaidRangeAmount","1","<p align=""justify""><b>Indique El monto mínimo excedido en el cobro para generar el abono automático </b><br> El número ingresado será el monto mínimo para generar el abono automático </p>","integer","1,10000","automatedPrepaid","true",True,"I","2026-03-19 14:29:28.392439"
85,10,"C","prepaidRangeCurrency","US$","<p align=""justify""><b>Seleccione la moneda para evaluar el monto mínimo excedido para generar el abono automático </b></p>","selectText","HardCurrency,LocalCurrency","automatedPrepaid","true",True,"I","2026-03-19 14:29:28.392439"
86,11,"C","prepaidPaymentMethod","pa","<p align=""justify""><b>¿Qué nomenclatura desean utilizar para el método de pago del abono automático? </b><br> Indique la nomenclatura que se mostrara, por ejemplo “pa”</p>","text","","automatedPrepaid","true",True,"I","2025-10-13 09:35:54.40756"
88,13,"C","retentionDocTypeCR","true","<p align=""justify""><b>¿Manejan documentos de retención en cobros? </b><br> SI: Se habilitará la opción de poder realizar pagos parciales <br> NO: No se habilita la opción de realizar pagos parciales</p>","selectBoolean","","retencion","true",True,"I","2025-10-14 10:59:57.888093"
89,14,"C","sizeRetention","14","<p align=""justify""><b>Indique la cantidad de dígitos de su número de comprobante de retención </b><br> Esta será la cantidad exacta de dígitos que debe colocar el usuario</p>","integer","0,50","retencion","true",True,"I","2025-10-13 09:35:54.40756"
90,15,"C","formatRetention","0","<p align=""justify""><b>¿Qué formato posee su número de comprobante de retención? </b><br> Seleccione el formato de la retención; números, letras o alfanumérico</p>","selectFormat","Numeros,Letras,Alfanumerico","retencion","true",True,"I","2025-10-13 09:35:54.40756"
91,16,"C","multiCurrencyCollection","true","<p align=""justify""><b>¿Desea que los vendedores puedan elegir la moneda de la transacción en Cobros? </b><br> SI: Se mostrará un selector con las monedas <br> NO: Solo se mostrará la moneda por defecto de la empresa</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
92,17,"C","multiCurrencyDeposit","true","<p align=""justify""><b>¿Desea que los vendedores puedan elegir la moneda de la transacción en Depositos? </b><br> SI: Se mostrará un selector con las monedas <br> NO: Solo se mostrará la moneda por defecto de la empresa</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
93,18,"C","clientBankAccount","false","<p align=""justify""><b>¿Desea habilitar la asociación de la cuenta del banco del cliente al momento de realizar un cobro? </b><br> SI: Debe generar el archivo ""CLIENT_BANK_ACCOUNT"" para asociar la cuenta de los clientes <br> NO: No debe generar el archivo ""CLIENT_BANK_ACCOUNT""</p>","selectBoolean","","","",False,"I","2026-02-12 13:56:12.069024"
94,19,"C","currencyBank","true","<p align=""justify""><b>¿Desea visualizar todos los bancos sin importar la moneda del cobro? </b><br> SI: Se visualizarán todos los bancos <br> NO: Solo se visualizarán los bancos que tengan la misma moneda seleccionada en el cobro </p>","selectBoolean","","","",True,"I","2026-03-19 14:29:28.392439"
